,Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),MeanTemperature,Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Date
112,Ang Mo Kio,2014,4,23,6.8,6.2,6.8,6.8,28.1,34.4,24.9,4,34.2,4/23/2014
113,Ang Mo Kio,2014,4,24,10,8.6,9.4,9.8,28.1,34.5,24.1,4.6,28.8,4/24/2014
114,Ang Mo Kio,2014,4,25,1.6,1.6,1.6,1.6,28.3,34.2,24.8,3.8,29.2,4/25/2014
115,Ang Mo Kio,2014,4,26,0,0,0,0,28.5,33.3,26.1,3.5,27.7,4/26/2014
116,Ang Mo Kio,2014,4,27,0,0,0,0,28.6,33,25.5,4.7,30.2,4/27/2014
117,Ang Mo Kio,2014,4,28,0,0,0,0,28.9,32.9,25.8,5,25.6,4/28/2014
118,Ang Mo Kio,2014,4,29,28,27,28,28,28.5,32.5,25,4.7,34.6,4/29/2014
119,Ang Mo Kio,2014,4,30,0,0,0,0,28.5,32.5,26.2,3.8,20.5,4/30/2014
120,Ang Mo Kio,2014,5,1,2.8,2.4,2.8,2.8,28.4,31.3,24.4,4.6,33.8,5/1/2014
121,Ang Mo Kio,2014,5,2,0,0,0,0,29.6,32.9,26.9,4.6,21.2,5/2/2014
122,Ang Mo Kio,2014,5,3,0,0,0,0,29.3,34.1,27.1,5.9,29.5,5/3/2014
123,Ang Mo Kio,2014,5,4,0,0,0,0,29.4,34.8,26.6,4.8,32,5/4/2014
124,Ang Mo Kio,2014,5,5,0,0,0,0,29.6,33.8,26.9,5.8,37.8,5/5/2014
125,Ang Mo Kio,2014,5,6,1.6,1.6,1.6,1.6,29.6,33.2,26.9,6.2,30.6,5/6/2014
126,Ang Mo Kio,2014,5,7,20.4,13,16.4,17.8,27.9,34.5,23.7,4.3,35.3,5/7/2014
127,Ang Mo Kio,2014,5,8,42.2,30.4,36.8,37.2,26.9,31.7,22.7,3.7,41.4,5/8/2014
128,Ang Mo Kio,2014,5,9,0.2,0.2,0.2,0.2,28.7,33.1,26.1,4.5,19.8,5/9/2014
129,Ang Mo Kio,2014,5,10,0,0,0,0,30.1,34,27,5.4,27,5/10/2014
130,Ang Mo Kio,2014,5,11,0,0,0,0,28.6,33.7,26.2,3.6,24.8,5/11/2014
131,Ang Mo Kio,2014,5,12,10,6.6,10,10,28.1,32.4,26.1,3.9,28.1,5/12/2014
132,Ang Mo Kio,2014,5,13,0,0,0,0,29.5,34.3,25.8,4.5,25.2,5/13/2014
133,Ang Mo Kio,2014,5,14,1.4,1.4,1.4,1.4,28.3,30.4,25.1,6.6,35.3,5/14/2014
134,Ang Mo Kio,2014,5,15,0,0,0,0,29.8,33.4,26.9,5.1,25.2,5/15/2014
135,Ang Mo Kio,2014,5,16,24.4,18.4,23.8,24.4,28.7,31.7,23.4,5.2,44.3,5/16/2014
136,Ang Mo Kio,2014,5,17,38,22.2,34.2,38,28.6,31.4,25,5.5,32.4,5/17/2014
137,Ang Mo Kio,2014,5,18,9.2,3.8,3.8,4.8,26.5,28.4,24.8,3.5,28.8,5/18/2014
138,Ang Mo Kio,2014,5,19,10.4,5.4,9,10.2,27.2,30.4,23,4.8,27,5/19/2014
139,Ang Mo Kio,2014,5,20,5,1.4,2.6,4.6,27.4,32.5,23.7,4.7,22.7,5/20/2014
140,Ang Mo Kio,2014,5,21,10.4,6.4,6.6,9.8,27.5,33,24.7,3.8,25.2,5/21/2014
141,Ang Mo Kio,2014,5,22,0,0,0,0,28.9,33,25.6,5.2,28.4,5/22/2014
142,Ang Mo Kio,2014,5,23,23.2,17.4,22.8,23,27,30.2,22.9,4.5,32,5/23/2014
143,Ang Mo Kio,2014,5,24,0,0,0,0,28.5,33.5,24.9,6.1,33.1,5/24/2014
144,Ang Mo Kio,2014,5,25,0,0,0,0,29.4,33.6,26.5,4.7,23.4,5/25/2014
145,Ang Mo Kio,2014,5,26,8.8,8.8,8.8,8.8,28.2,31.6,25.6,4.5,45,5/26/2014
146,Ang Mo Kio,2014,5,27,0,0,0,0,28,30.9,25.6,5.5,23.4,5/27/2014
147,Ang Mo Kio,2014,5,28,0.6,0.4,0.4,0.4,28.9,33.4,26.2,5.5,22.7,5/28/2014
148,Ang Mo Kio,2014,5,29,0.6,0.4,0.4,0.4,28.9,34,25.9,3.6,25.2,5/29/2014
149,Ang Mo Kio,2014,5,30,10.8,5,5.6,5.6,27.8,31,25.1,5.3,33.8,5/30/2014
150,Ang Mo Kio,2014,5,31,0.6,0.6,0.6,0.6,28.9,31.5,25.6,5.1,24.1,5/31/2014
151,Ang Mo Kio,2014,6,1,6,3.2,3.4,3.4,28.4,32.3,26,4.7,32.8,6/1/2014
152,Ang Mo Kio,2014,6,2,0,0,0,0,28.7,31.5,26.3,4.1,22,6/2/2014
153,Ang Mo Kio,2014,6,3,0,0,0,0,29.4,31.7,27.8,6.3,28.1,6/3/2014
154,Ang Mo Kio,2014,6,4,8.4,3.8,6.4,7,27.7,29.1,25.5,5.1,31.3,6/4/2014
155,Ang Mo Kio,2014,6,5,13.8,7.6,8,8.6,26.7,29.9,24.9,5.5,31.7,6/5/2014
156,Ang Mo Kio,2014,6,6,32.6,15.2,20.6,30.2,26.9,31.2,24.1,4.4,45.7,6/6/2014
157,Ang Mo Kio,2014,6,7,0,0,0,0,28.6,32.3,25.2,5.7,29.9,6/7/2014
158,Ang Mo Kio,2014,6,8,0,0,0,0,30.1,33.7,27.9,6.2,25.2,6/8/2014
159,Ang Mo Kio,2014,6,9,0,0,0,0,29.9,35,27.3,5.6,25.9,6/9/2014
160,Ang Mo Kio,2014,6,10,2.6,1.4,1.4,1.6,29.3,34.4,26.7,4.5,23.8,6/10/2014
161,Ang Mo Kio,2014,6,11,0,0,0,0,30.2,33.8,27.4,5.6,29.9,6/11/2014
162,Ang Mo Kio,2014,6,12,13.6,8.8,11.2,13.4,29.2,33.4,22.5,6.9,50,6/12/2014
